"","so_PID","so_NAME","so_SHORTNAME","so_productWave","so_colorWave","so_allTWave","so_ratioWave","so_keyW","class_id","CLASS_ID","CLASS_TERM","UCLASS_ID","UCLASS_TERM"
"283","O43795","Unconventional myosin-Ib","MYO1B",4.29640875567843,3,0.0031797369,3.47930669480124,148,"PC00040","PC00085","actin or actin-binding cytoskeletal protein","PC00041","cytoskeletal protein"
"284","P52209","6-phosphogluconate dehydrogenase, decarboxylating","PGD",4.28909698209585,3,0.0048422348,3.92894763492035,891,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"285","Q15165","Serum paraoxonase/arylesterase 2","PON2",4.2659871806884,3,0.013014858,5.20690667444515,1367,"PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"286","P47712","Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase","PLA2G4A",4.2458377398444,3,0.0059668613,4.06029235043232,812,"PC00186","PC00262","hydrolase","PC00121","metabolite interconversion enzyme"
"287","Q96KA5","Cleft lip and palate transmembrane protein 1-like protein","CLPTM1L",4.24552028112758,3,0.0022467729,3.02530258092066,1882,NA,NA,"Unclassified",NA,"Unclassified"
"288","P51571","Translocon-associated protein subunit delta","SSR4",4.2385738831856,3,0.0029519268,3.26861516919342,880,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"289","Q96S97","Myeloid-associated differentiation marker","MYADM",4.21005117484492,3,0.0053617065,3.83533951931518,1910,NA,NA,"Unclassified",NA,"Unclassified"
"290","Q9BZZ5","Apoptosis inhibitor 5","API5",4.20906409855098,3,0.0088198259,4.45221782904662,2028,NA,NA,"Unclassified",NA,"Unclassified"
"291","Q6UVK1","Chondroitin sulfate proteoglycan 4","CSPG4",4.19348911161895,3,0.0017285228,2.69664255362196,1546,"PC00069","PC00069","cell adhesion molecule","PC00069","cell adhesion molecule"
"292","Q9BVC6","Transmembrane protein 109","TMEM109",4.17924490862326,3,0.0066889618,4.0127841028619,1995,NA,NA,"Unclassified",NA,"Unclassified"
"293","P43304","Glycerol-3-phosphate dehydrogenase, mitochondrial","GPD2",4.17595163206982,3,0.0046736002,3.59403171661581,788,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"294","Q9UL25","Ras-related protein Rab-21","RAB21",4.17396466742097,3,0.0021321115,2.83387209379986,2297,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"295","Q9Y6M7","Sodium bicarbonate cotransporter 3","SLC4A7",4.15615985123611,3,0.0010339048,2.25111606440864,3006,"PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"296","P16144","Integrin beta-4","ITGB4",4.15109478020142,3,0.0033440697,3.19401277504938,512,"PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"297","P30041","Peroxiredoxin-6","PRDX6",4.13393176075411,3,0.0044980845,3.45086801265996,653,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"298","P62701","40S ribosomal protein S4, X isoform","RPS4X",4.13137804445921,3,0.0007649475,2.02091655163167,1028,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"299","P04150","Glucocorticoid receptor","NR3C1",4.12166973267495,3,0.0032732468,3.1094262078968,333,"PC00169","PC00264","DNA-binding transcription factor","PC00218","gene-specific transcriptional regulator"
"300","P57721","Poly(rC)-binding protein 2;Poly(rC)-binding protein 3","PCBP2;PCBP3",4.102529806581,3,0.0025995888,2.86281491481796,2787,"PC00031","PC00031","RNA metabolism protein","PC00031","RNA metabolism protein"
"301","Q86UE4","Protein LYRIC","MTDH",4.09496211350859,3,0.0052671963,3.52235828850524,1607,NA,NA,"Unclassified",NA,"Unclassified"
"302","Q92616","Translational activator GCN1","GCN1L1",4.08439526305285,3,0.0041147261,3.24616488938483,1776,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"303","P35579","Myosin-9","MYH9",4.07367723810415,3,0.0063050138,3.66385699205655,720,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"304","O95758","Polypyrimidine tract-binding protein 3","PTBP3",4.07031593032424,3,0.0032494133,2.99409705518311,297,"PC00147","PC00147","RNA processing factor","PC00031","RNA metabolism protein"
"305","P36957","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial","DLST",4.06132807026597,3,0.0051603122,3.42001847487802,736,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"306","O00116","Alkyldihydroxyacetonephosphate synthase, peroxisomal","AGPS",4.04649681533815,3,0.004343465,3.21391780552078,20,NA,NA,"Unclassified",NA,"Unclassified"
"307","Q07960","Rho GTPase-activating protein 1","ARHGAP1",4.04040976431858,3,0.0049404507,3.32689505569717,1173,"PC00257","PC00095","G-protein modulator","PC00022","protein-binding activity modulator"
"308","Q99832","T-complex protein 1 subunit eta","CCT7",4.03992136828314,3,0.0097013433,4.07486784706055,1947,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"309","P06744","Glucose-6-phosphate isomerase","GPI",4.01507696642492,3,0.0071325703,3.65107913836833,366,"PC00135","PC00135","isomerase","PC00262","metabolite interconversion enzyme"
"310","P17987","T-complex protein 1 subunit alpha","TCP1",4.00538725041593,3,0.012737161,4.31828920799207,537,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"311","P27348","14-3-3 protein theta","YWHAQ",4.00373209607327,3,0.0055250274,3.35442726559421,626,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"312","Q9P0L0","Vesicle-associated membrane protein-associated protein A","VAPA",3.98004372289755,3,0.0058742184,3.36124035051981,2219,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"313","Q8WYA6","Beta-catenin-like protein 1","CTNNBL1",3.97772653302457,3,0.0036731933,2.91353415000248,1757,NA,NA,"Unclassified",NA,"Unclassified"
"314","Q9UNQ2","Probable dimethyladenosine transferase","DIMT1",3.97388605710446,3,0.016982784,4.60721491517475,2987,"PC00033","PC00033","RNA methyltransferase","PC00031","RNA metabolism protein"
"315","P11310","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial","ACADM",3.97138437392047,3,0.0070898328,3.53576006958776,457,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"316","P29317","Ephrin type-A receptor 2","EPHA2",3.96055416293407,3,0.0052276039,3.20174162526091,2475,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"317","Q96A49","Synapse-associated protein 1","SYAP1",3.95351434467304,3,0.0031261747,2.72929356742389,1822,NA,NA,"Unclassified",NA,"Unclassified"
"318","Q4KMQ2","Anoctamin-6","ANO6",3.9509743920122,3,0.01505925,4.37346815551876,1455,"PC00133","PC00133","ion channel","PC00227","transporter"
"319","P22392","Nucleoside diphosphate kinase B;Putative nucleoside diphosphate kinase;Nucleoside diphosphate kinase A","NME2;NME2P1;NME1",3.9208506888174,3,0.017741883,4.49976732345177,2683,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"320","P09543","2,3-cyclic-nucleotide 3-phosphodiesterase","CNP",3.91773995398259,3,0.021066938,4.72836471252307,419,"PC00121","PC00121","hydrolase","PC00262","metabolite interconversion enzyme"
"321","Q9HC07","Transmembrane protein 165","TMEM165",3.89635255190284,3,0.002607207,2.48376409704305,2112,NA,NA,"Unclassified",NA,"Unclassified"
"322","P62805","Histone H4","HIST1H4A",3.89520926612626,3,0.001485268,2.09509283342665,1032,"PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"323","Q9HDC9","Adipocyte plasma membrane-associated protein","APMAP",3.89253827569497,3,0.0033232716,2.66494210242206,2124,NA,NA,"Unclassified",NA,"Unclassified"
"324","Q6DD88","Atlastin-3","ATL3",3.88807908104287,3,0.0087556876,3.55628115709278,1510,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"325","Q3ZCM7","Tubulin beta-8 chain","TUBB8",3.86210334378573,3,0.016937923,4.26032497819829,1452,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"326","P12277","Creatine kinase B-type","CKB",3.86093175652342,3,0.007427596,3.32137342483173,471,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"327","P50402","Emerin","EMD",3.85265951005688,3,0.007799746,3.35134463962933,858,NA,NA,"Unclassified",NA,"Unclassified"
"328","Q9C0B5","Palmitoyltransferase ZDHHC5","ZDHHC5",3.84836559767324,3,0.0064524985,3.15599190490413,2921,NA,NA,"Unclassified",NA,"Unclassified"
"329","P10586","Receptor-type tyrosine-protein phosphatase F","PTPRF",3.82585312143792,3,0.0081554065,3.33410315048266,439,"PC00195","PC00195","protein phosphatase","PC00260","protein modifying enzyme"
"330","Q8WTV0","Scavenger receptor class B member 1","SCARB1",3.82240266417191,3,0.0020927151,2.20857044004514,1728,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"331","Q8IWT6","Volume-regulated anion channel subunit LRRC8A","LRRC8A",3.8217208134076,3,0.0077473982,3.27359688664967,2843,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"332","Q9UNL2","Translocon-associated protein subunit gamma","SSR3",3.77494454143542,3,0.0036459295,2.52582185326827,2319,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"333","Q15005","Signal peptidase complex subunit 2","SPCS2",3.77441530552671,3,0.0077356081,3.1665454725765,1346,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"334","P06493","Cyclin-dependent kinase 1","CDK1",3.76901512647843,3,0.011707082,3.57381211315729,362,"PC00167","PC00167","non-receptor serine/threonine protein kinase","PC00260","protein modifying enzyme"
"335","Q13501","Sequestosome-1","SQSTM1",3.75713635670379,3,0.031450711,4.77257157348314,1262,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"336","P62829","60S ribosomal protein L23","RPL23",3.72255549702111,3,0.010694396,3.36757880114069,1036,"PC00202","PC00202","ribosomal protein","PC00263","translational protein"
"337","Q9H488","GDP-fucose protein O-fucosyltransferase 1","POFUT1",3.72000678992399,3,0.0068362989,2.93798651826456,2934,"PC00260","PC00260","protein modifying enzyme","PC00260","protein modifying enzyme"
"338","Q92974","Rho guanine nucleotide exchange factor 2","ARHGEF2",3.71596350835582,3,0.0082750022,3.10314585814741,1801,"PC00095","PC00095","protein-binding activity modulator","PC00095","protein-binding activity modulator"
"339","Q8WUM4","Programmed cell death 6-interacting protein","PDCD6IP",3.71204051982904,3,0.0046790382,2.6066502101692,1735,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"340","P0DI83","Ras-related protein Rab-34, isoform NARR","RAB34",3.70412849102878,3,0.0073860656,2.97428253831753,431,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"341","P09874","Poly [ADP-ribose] polymerase 1","PARP1",3.69854714505624,3,0.0046187774,2.57232705613341,425,"PC00009","PC00009","DNA metabolism protein","PC00009","DNA metabolism protein"
"342","Q14156","Protein EFR3 homolog A","EFR3A",3.69453163454475,3,0.0025231941,2.1383266156815,2771,NA,NA,"Unclassified",NA,"Unclassified"
"343","Q9GZS1","DNA-directed RNA polymerase I subunit RPA49","POLR1E",3.68397120522329,3,0.0020980402,2.00803585094319,2541,"PC00019","PC00019","DNA-directed RNA polymerase","PC00031","RNA metabolism protein"
"344","P42166","Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin","TMPO",3.68392581365455,3,0.012399187,3.42788573674703,772,"PC00179","PC00179","peptide hormone","PC00207","intercellular signal molecule"
"345","P61769","Beta-2-microglobulin;Beta-2-microglobulin form pI 5.3","B2M",3.68355685711877,3,0.01181541,3.37761691033943,994,"PC00149","PC00149","major histocompatibility complex protein","PC00090","defense/immunity protein"
"346","P46459","Vesicle-fusing ATPase","NSF",3.68201437971133,3,0.014878565,3.61645306739136,801,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"347","O14929","Histone acetyltransferase type B catalytic subunit","HAT1",3.66944211102993,3,0.0088460036,3.06564188109809,73,"PC00261","PC00261","histone modifying enzyme","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"348","Q01518","Adenylyl cyclase-associated protein 1","CAP1",3.65327566348446,3,0.024328539,4.11072166585386,1123,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"349","P20700","Lamin-B1","LMNB1",3.64610066376774,3,0.010113904,3.14055487427195,568,NA,NA,"Unclassified",NA,"Unclassified"
"350","Q9BZX2","Uridine-cytidine kinase 2;Uridine-cytidine kinase 1","UCK2",3.6445977216295,3,0.0062056459,2.70829482014677,2920,"PC00172","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"351","Q7Z406","Myosin-14","MYH14",3.63305435972079,3,0.019113861,3.76957748301951,1588,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"352","P31930","Cytochrome b-c1 complex subunit 1, mitochondrial","UQCRC1",3.62972334916539,3,0.008193926,2.91443315685437,678,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"353","P08574","Cytochrome c1, heme protein, mitochondrial","CYC1",3.62590339858841,3,0.0050437655,2.5116899291525,398,NA,NA,"Unclassified",NA,"Unclassified"
"354","P00558","Phosphoglycerate kinase 1","PGK1",3.61933335422127,3,0.016671527,3.58334929605585,314,"PC00065","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"355","O00505","Importin subunit alpha-4","KPNA3",3.61751082630795,3,0.0064386711,2.68757868531879,40,"PC00227","PC00227","transporter","PC00227","transporter"
"356","P17980","26S protease regulatory subunit 6A","PSMC3",3.60304388909143,3,0.0065688267,2.67684129312444,536,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"357","Q15836","Vesicle-associated membrane protein 3","VAMP3",3.59622236656165,3,0.013185619,3.28597809896402,1407,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"358","Q13509","Tubulin beta-3 chain","TUBB3",3.59441723931731,3,0.010948202,3.1032071398988,2507,"PC00157","PC00157","microtubule or microtubule-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"359","P07195","L-lactate dehydrogenase B chain","LDHB",3.59233913834465,3,0.020660434,3.75152858562447,374,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"360","P60468","Protein transport protein Sec61 subunit beta","SEC61B",3.58602509686599,3,0.012269041,3.19282982359113,2494,"PC00150","PC00150","membrane traffic protein","PC00150","membrane traffic protein"
"361","P07737","Profilin-1","PFN1",3.58091047340822,3,0.016604204,3.48492724166,381,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"362","Q9H2V7","Protein spinster homolog 1","SPNS1",3.5552222285036,3,0.0029736126,2.03991170944387,2058,"PC00227","PC00227","transporter","PC00227","transporter"
"363","Q9ULF5","Zinc transporter ZIP10","SLC39A10",3.55328638407325,3,0.016234132,3.39571518093956,2301,"PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"364","Q15125","3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase","EBP",3.54737617173575,3,0.017847942,3.4797032499526,1363,"PC00135","PC00135","isomerase","PC00262","metabolite interconversion enzyme"
"365","P48507","Glutamate--cysteine ligase regulatory subunit","GCLM",3.54380862798331,3,0.0069072079,2.60830244722264,821,"PC00142","PC00142","ligase","PC00262","metabolite interconversion enzyme"
"366","Q14566","DNA replication licensing factor MCM6","MCM6",3.53986813463256,3,0.0056803855,2.45248782866879,1316,"PC00009","PC00009","DNA metabolism protein","PC00009","DNA metabolism protein"
"367","Q92878","DNA repair protein RAD50","RAD50",3.53897083845553,3,0.024400748,3.80098667865936,2874,NA,NA,"Unclassified",NA,"Unclassified"
"368","Q9Y639","Neuroplastin","NPTN",3.53094770307716,3,0.007941585,2.69606413292925,2416,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"369","P08174","Complement decay-accelerating factor","CD55",3.5041443585901,3,0.016011955,3.26840953739721,390,"PC00078","PC00078","complement component","PC00090","defense/immunity protein"
"370","P43490","Nicotinamide phosphoribosyltransferase","NAMPT",3.495992947039,3,0.0170123,3.30982748960813,792,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"371","P16435","NADPH--cytochrome P450 reductase","POR",3.4938569774942,3,0.0078493226,2.61840654148555,518,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"372","Q12913","Receptor-type tyrosine-protein phosphatase eta","PTPRJ",3.47516785926249,3,0.016149685,3.21168845935795,2757,"PC00195","PC00195","protein phosphatase","PC00260","protein modifying enzyme"
"373","P17813","Endoglin","ENG",3.47372174681173,3,0.017971512,3.31338630733897,533,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"374","O00231","26S proteasome non-ATPase regulatory subunit 11","PSMD11",3.45968523616534,3,0.010603269,2.79941422369838,27,NA,NA,"Unclassified",NA,"Unclassified"
"375","P56199","Integrin alpha-1","ITGA1",3.45773883543109,3,0.0080760876,2.57565593678038,2728,"PC00126","PC00126","integrin","PC00069","cell adhesion molecule"
"376","P31946","14-3-3 protein beta/alpha;14-3-3 protein beta/alpha, N-terminally processed","YWHAB",3.44460710320408,3,0.012563067,2.91541812075611,683,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"377","P62820","Ras-related protein Rab-1A","RAB1A",3.43884478939672,3,0.020280141,3.35407688492851,1034,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"378","Q29RF7","Sister chromatid cohesion protein PDS5 homolog A","PDS5A",3.43740920589748,3,0.0095553035,2.67150664193868,1442,"PC00077","PC00077","chromatin/chromatin-binding, or -regulatory protein","PC00077","chromatin/chromatin-binding, or -regulatory protein"
"379","Q9Y2X3","Nucleolar protein 58","NOP58",3.4348361306042,3,0.0072209472,2.45110163996291,2362,"PC00031","PC00031","RNA metabolism protein","PC00031","RNA metabolism protein"
"380","O14936","Peripheral plasma membrane protein CASK","CASK",3.41318730640925,3,0.0096051861,2.63114928303285,2583,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"381","P62258","14-3-3 protein epsilon","YWHAE",3.399190129608,3,0.016866505,3.08702096509862,1012,"PC00226","PC00226","scaffold/adaptor protein","PC00226","scaffold/adaptor protein"
"382","Q9NUP9","Protein lin-7 homolog C","LIN7C",3.39419142995219,3,0.015122161,2.97688864955036,2167,"PC00070","PC00070","cell junction protein","PC00070","cell junction protein"
"383","Q6YN16","Hydroxysteroid dehydrogenase-like protein 2","HSDL2",3.39017072891157,3,0.0092596924,2.56110665210964,1553,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"384","Q15293","Reticulocalbin-1","RCN1",3.38221259450121,3,0.0079693506,2.43451699511415,1372,"PC00061","PC00061","calmodulin-related","PC00060","calcium-binding protein"
"385","Q9Y6B6","GTP-binding protein SAR1b","SAR1B",3.37618800935891,3,0.017060669,3.04867860687291,2421,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"386","Q9NRR3","CDC42 small effector protein 2","CDC42SE2",3.37093049656033,3,0.028649358,3.55055715685978,2950,NA,NA,"Unclassified",NA,"Unclassified"
"387","Q8NFH5","Nucleoporin NUP53","NUP35",3.35422377266941,3,0.018424183,3.07292386493804,1698,"PC00227","PC00227","transporter","PC00227","transporter"
"388","P84095","Rho-related GTP-binding protein RhoG","RHOG",3.35322968337629,3,0.009545072,2.51927554816082,1099,"PC00208","PC00095","G-protein","PC00020","protein-binding activity modulator"
"389","Q9HAV0","Guanine nucleotide-binding protein subunit beta-4","GNB4",3.3531512188026,3,0.0052149636,2.10001920207952,2108,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"390","O15127","Secretory carrier-associated membrane protein 2","SCAMP2",3.34529355008294,3,0.0075887642,2.33830741272068,91,"PC00219","PC00219","transfer/carrier protein","PC00219","transfer/carrier protein"
"391","P18669","Phosphoglycerate mutase 1;Phosphoglycerate mutase 2;Probable phosphoglycerate mutase 4","PGAM1;PGAM2",3.3397538094893,3,0.015022121,2.86093166469615,2469,"PC00160","PC00262","isomerase","PC00135","metabolite interconversion enzyme"
"392","P17252","Protein kinase C alpha type","PRKCA",3.33459769543434,3,0.030879907,3.54128681321255,526,"PC00167","PC00167","non-receptor serine/threonine protein kinase","PC00260","protein modifying enzyme"
"393","O00299","Chloride intracellular channel protein 1","CLIC1",3.32584861976532,3,0.032648429,3.57938287394212,30,"PC00133","PC00133","ion channel","PC00227","transporter"
"394","Q9UHB6","LIM domain and actin-binding protein 1","LIMA1",3.32382799888992,3,0.020056216,3.08672499229984,2259,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"395","O43681","ATPase ASNA1","ASNA1",3.32151084662556,3,0.010562572,2.54079585445871,142,"PC00227","PC00227","transporter","PC00227","transporter"
"396","P35580","Myosin-10","MYH10",3.31678022855143,3,0.022862269,3.19518513186282,721,"PC00041","PC00041","actin or actin-binding cytoskeletal protein","PC00085","cytoskeletal protein"
"397","P60174","Triosephosphate isomerase","TPI1",3.31552914326085,3,0.021413309,3.13010915959819,957,"PC00135","PC00135","isomerase","PC00262","metabolite interconversion enzyme"
"398","P43353","Aldehyde dehydrogenase family 3 member B1","ALDH3B1",3.3142287927767,3,0.013854849,2.74314444863985,790,"PC00262","PC00262","metabolite interconversion enzyme","PC00262","metabolite interconversion enzyme"
"399","P31431","Syndecan-4","SDC4",3.30652862454547,3,0.011883763,2.60535964810775,2480,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"400","P50990","T-complex protein 1 subunit theta","CCT8",3.30495135702345,3,0.015275716,2.80685185744753,868,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"401","P53396","ATP-citrate synthase","ACLY",3.29610073746958,3,0.016559996,2.8583070809117,908,"PC00220","PC00220","transferase","PC00262","metabolite interconversion enzyme"
"402","P58107","Epiplakin","EPPK1",3.29337838075818,3,0.021419225,3.0826735802865,954,"PC00129","PC00129","intermediate filament","PC00085","cytoskeletal protein"
"403","O95373","Importin-7","IPO7",3.27769774416129,3,0.010256258,2.44305559577098,280,"PC00227","PC00227","transporter","PC00227","transporter"
"404","P50502","Hsc70-interacting protein;Putative protein FAM10A4;Putative protein FAM10A5","ST13;ST13P4;ST13P5",3.27400654036988,3,0.006382525,2.1125697537747,861,NA,NA,"Unclassified",NA,"Unclassified"
"405","Q13838","Spliceosome RNA helicase DDX39B","DDX39B",3.27096793744518,3,0.035178185,3.52406713228068,1280,"PC00032","PC00032","RNA helicase","PC00031","RNA metabolism protein"
"406","P78324","Tyrosine-protein phosphatase non-receptor type substrate 1","SIRPA",3.25991229618687,3,0.0067549166,2.12805019518944,2744,"PC00197","PC00197","transmembrane signal receptor","PC00197","transmembrane signal receptor"
"407","Q13308","Inactive tyrosine-protein kinase 7","PTK7",3.25067052925027,3,0.011482143,2.48060749995922,1241,NA,NA,"Unclassified",NA,"Unclassified"
"408","Q9UBS4","DnaJ homolog subfamily B member 11","DNAJB11",3.25055730904227,3,0.0079559619,2.22106253070012,2244,"PC00072","PC00072","chaperone","PC00072","chaperone"
"409","Q08J23","tRNA (cytosine(34)-C(5))-methyltransferase","NSUN2",3.248811144786,3,0.017294368,2.8025027965078,1184,"PC00033","PC00033","RNA methyltransferase","PC00031","RNA metabolism protein"
"410","P27816","Microtubule-associated protein 4","MAP4",3.24762182792477,3,0.012665649,2.54956165150037,632,"PC00085","PC00085","cytoskeletal protein","PC00085","cytoskeletal protein"
"411","P46821","Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1","MAP1B",3.23500872402624,3,0.015610944,2.6915511387946,809,"PC00166","PC00085","microtubule or microtubule-binding cytoskeletal protein","PC00157","cytoskeletal protein"
"412","P15151","Poliovirus receptor","PVR",3.21757382519917,3,0.020847976,2.90117581446336,502,"PC00069","PC00069","cell adhesion molecule","PC00069","cell adhesion molecule"
"413","Q15046","Lysine--tRNA ligase","KARS",3.21692022378092,3,0.013617963,2.55094597179998,1356,"PC00047","PC00047","aminoacyl-tRNA synthetase","PC00263","translational protein"
"414","P50995","Annexin A11","ANXA11",3.21536759442754,3,0.01253001,2.48512601026801,2718,"PC00060","PC00060","calcium-binding protein","PC00060","calcium-binding protein"
"415","P09601","Heme oxygenase 1","HMOX1",3.20112825592182,3,0.014049929,2.54700596724833,420,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"416","P04040","Catalase","CAT",3.20107003149498,3,0.017987536,2.74354579040058,328,"PC00176","PC00176","oxidoreductase","PC00262","metabolite interconversion enzyme"
"417","Q14558","Phosphoribosyl pyrophosphate synthase-associated protein 1;Phosphoribosyl pyrophosphate synthase-associated protein 2","PRPSAP1;PRPSAP2",3.19407432190401,3,0.024694797,3.0035730368968,2776,"PC00172","PC00262","transferase","PC00220","metabolite interconversion enzyme"
"418","Q9H0S4","Probable ATP-dependent RNA helicase DDX47","DDX47",3.18824416867214,3,0.010957437,2.34234428086017,2047,"PC00032","PC00032","RNA helicase","PC00031","RNA metabolism protein"
"419","P04216","Thy-1 membrane glycoprotein","THY1",3.18712585916567,3,0.011575229,2.37949507721074,336,"PC00069","PC00069","cell adhesion molecule","PC00069","cell adhesion molecule"
"420","P15144","Aminopeptidase N","ANPEP",3.17974928556104,3,0.030522037,3.16973630039397,501,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"421","O95197","Reticulon-3","RTN3",3.17711567624643,3,0.021872999,2.86200072530601,267,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"422","P28066","Proteasome subunit alpha type-5","PSMA5",3.16522974614232,3,0.01114425,2.31703619301938,634,"PC00190","PC00190","protease","PC00260","protein modifying enzyme"
"423","P18085","ADP-ribosylation factor 4","ARF4",3.16016275510322,3,0.039632257,3.38278517529274,542,"PC00020","PC00020","G-protein","PC00095","protein-binding activity modulator"
"424","Q70J99","Protein unc-13 homolog D","UNC13D",3.15090092970167,3,0.010290312,2.2397371821491,1559,NA,NA,"Unclassified",NA,"Unclassified"
"425","P38606","V-type proton ATPase catalytic subunit A","ATP6V1A",3.14100283098325,3,0.019557791,2.69880862591605,744,"PC00068","PC00068","primary active transporter","PC00227","transporter"
"426","Q9GZZ9","Ubiquitin-like modifier-activating enzyme 5","UBA5",3.13624785948448,3,0.010280645,2.21647671885522,2039,"PC00234","PC00234","ubiquitin-protein ligase","PC00260","protein modifying enzyme"
"427","O43760","Synaptogyrin-2","SYNGR2",3.11969439491637,3,0.020938158,2.71439911144224,146,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"428","Q9Y6C9","Mitochondrial carrier homolog 2","MTCH2",3.11067963655828,3,0.020300224,2.67248245349989,2422,"PC00258","PC00258","secondary carrier transporter","PC00227","transporter"
"429","O75955","Flotillin-1","FLOT1",3.09733292818219,3,0.018473189,2.57375507004516,244,"PC00151","PC00151","membrane trafficking regulatory protein","PC00150","membrane traffic protein"
"430","P48643","T-complex protein 1 subunit epsilon","CCT5",3.08570935677312,3,0.022312626,2.70243521719243,824,"PC00073","PC00073","chaperonin","PC00072","chaperone"
"431","P11388","DNA topoisomerase 2-alpha","TOP2A",3.08456689834007,3,0.030436393,2.96485200157353,459,"PC00009","PC00009","DNA metabolism protein","PC00009","DNA metabolism protein"
