"so_SHORTNAME","so_NAME","so_PID","so_ratioWave","so_allTWave","Entry","Entry.Name","Protein.names","Gene.Names","Transmembrane","Length","Function..CC.","Subcellular.location..CC.","Gene.Ontology..biological.process.","Gene.Ontology..cellular.component.","tms"
"ADRA2A","Alpha-2A adrenergic receptor","P08913",4.06146429454409,0.00017633363,"P08913","ADA2A_HUMAN","Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)","ADRA2A ADRA2R ADRAR","TRANSMEM 49..74; /note=""Helical; Name=1""; /evidence=""ECO:0000250""; TRANSMEM 86..111; /note=""Helical; Name=2""; /evidence=""ECO:0000250""; TRANSMEM 122..144; /note=""Helical; Name=3""; /evidence=""ECO:0000250""; TRANSMEM 167..187; /note=""Helical; Name=4""; /evidence=""ECO:0000250""; TRANSMEM 210..232; /note=""Helical; Name=5""; /evidence=""ECO:0000250""; TRANSMEM 390..410; /note=""Helical; Name=6""; /evidence=""ECO:0000250""; TRANSMEM 425..444; /note=""Helical; Name=7""; /evidence=""ECO:0000250""",465,"FUNCTION: Alpha-2 adrenergic receptors mediate the catecholamine-induced inhibition of adenylate cyclase through the action of G proteins. The rank order of potency for agonists of this receptor is oxymetazoline > clonidine > epinephrine > norepinephrine > phenylephrine > dopamine > p-synephrine > p-tyramine > serotonin = p-octopamine. For antagonists, the rank order is yohimbine > phentolamine = mianserine > chlorpromazine = spiperone = prazosin > propanolol > alprenolol = pindolol. {ECO:0000269|PubMed:23105096}.","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23105096}; Multi-pass membrane protein {ECO:0000269|PubMed:23105096}.","actin cytoskeleton organization [GO:0030036]; activation of protein kinase activity [GO:0032147]; activation of protein kinase B activity [GO:0032148]; adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071880]; adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; adenylate cyclase-inhibiting adrenergic receptor signaling pathway [GO:0071881]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; adrenergic receptor signaling pathway [GO:0071875]; cellular response to hormone stimulus [GO:0032870]; DNA replication [GO:0006260]; fear response [GO:0042596]; female pregnancy [GO:0007565]; G protein-coupled receptor signaling pathway [GO:0007186]; glucose homeostasis [GO:0042593]; intestinal absorption [GO:0050892]; negative regulation of calcium ion transmembrane transporter activity [GO:1901020]; negative regulation of calcium ion transport [GO:0051926]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of epinephrine secretion [GO:0032811]; negative regulation of insulin secretion [GO:0046676]; negative regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0061179]; negative regulation of lipid catabolic process [GO:0050995]; negative regulation of norepinephrine secretion [GO:0010700]; negative regulation of uterine smooth muscle contraction [GO:0070473]; phospholipase C-activating adrenergic receptor signaling pathway [GO:0071882]; platelet activation [GO:0030168]; positive regulation of cell migration [GO:0030335]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of cytokine production [GO:0001819]; positive regulation of epidermal growth factor-activated receptor activity [GO:0045741]; positive regulation of MAP kinase activity [GO:0043406]; positive regulation of MAPK cascade [GO:0043410]; positive regulation of membrane protein ectodomain proteolysis [GO:0051044]; positive regulation of potassium ion transport [GO:0043268]; positive regulation of wound healing [GO:0090303]; presynaptic modulation of chemical synaptic transmission [GO:0099171]; Ras protein signal transduction [GO:0007265]; receptor transactivation [GO:0035624]; regulation of vasoconstriction [GO:0019229]; Rho protein signal transduction [GO:0007266]; thermoception [GO:0050955]; vasodilation [GO:0042311]","axon terminus [GO:0043679]; basolateral plasma membrane [GO:0016323]; cytoplasm [GO:0005737]; dopaminergic synapse [GO:0098691]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; postsynaptic density membrane [GO:0098839]; presynaptic active zone membrane [GO:0048787]; receptor complex [GO:0043235]",7
"AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal","O00116",0.662475914753327,0.6119132,"O00116","ADAS_HUMAN","Alkyldihydroxyacetonephosphate synthase, peroxisomal (Alkyl-DHAP synthase) (EC 2.5.1.26) (Aging-associated gene 5 protein) (Alkylglycerone-phosphate synthase)","AGPS AAG5","",658,"FUNCTION: Catalyzes the exchange of the acyl chain in acyl-dihydroxyacetonephosphate (acyl-DHAP) for a long chain fatty alcohol, yielding the first ether linked intermediate, i.e. alkyl-dihydroxyacetonephosphate (alkyl-DHAP), in the pathway of ether lipid biosynthesis. {ECO:0000269|PubMed:8399344, ECO:0000269|PubMed:9553082}.","SUBCELLULAR LOCATION: Peroxisome membrane {ECO:0000250|UniProtKB:P97275}. Peroxisome {ECO:0000250|UniProtKB:P97275}.","ether lipid biosynthetic process [GO:0008611]; lipid biosynthetic process [GO:0008610]","cytosol [GO:0005829]; membrane [GO:0016020]; mitochondrion [GO:0005739]; peroxisomal matrix [GO:0005782]; peroxisomal membrane [GO:0005778]; peroxisome [GO:0005777]",0
"AGTRAP","Type-1 angiotensin II receptor-associated protein","Q6RW13",82.9451670607144,2.2573909e-09,"Q6RW13","ATRAP_HUMAN","Type-1 angiotensin II receptor-associated protein (AT1 receptor-associated protein)","AGTRAP ATRAP","TRANSMEM 24..44; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 56..76; /note=""Helical""; /evidence=""ECO:0000255""; TRANSMEM 87..107; /note=""Helical""; /evidence=""ECO:0000255""",159,"FUNCTION: Appears to be a negative regulator of type-1 angiotensin II receptor-mediated signaling by regulating receptor internalization as well as mechanism of receptor desensitization such as phosphorylation. Induces also a decrease in cell proliferation and angiotensin II-stimulated transcriptional activity. {ECO:0000269|PubMed:12960423}.","SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12960423}; Multi-pass membrane protein {ECO:0000269|PubMed:12960423}. Golgi apparatus membrane {ECO:0000269|PubMed:12960423}; Multi-pass membrane protein {ECO:0000269|PubMed:12960423}. Cytoplasmic vesicle membrane {ECO:0000269|PubMed:12960423}; Multi-pass membrane protein {ECO:0000269|PubMed:12960423}. Note=Present in perinuclear vesicular membranes, Endoplasmic reticulum, Golgi and endocytic vesicles.","regulation of blood pressure [GO:0008217]; response to hypoxia [GO:0001666]","cell cortex [GO:0005938]; cytoplasmic vesicle membrane [GO:0030659]; endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; intracellular membrane-bounded organelle [GO:0043231]; plasma membrane [GO:0005886]",3
"AHNAK","Neuroblast differentiation-associated protein AHNAK","Q09666",2.45202933927748,0.29188135,"Q09666","AHNK_HUMAN","Neuroblast differentiation-associated protein AHNAK (Desmoyokin)","AHNAK PM227","",5890,"FUNCTION: May be required for neuronal cell differentiation.","SUBCELLULAR LOCATION: Nucleus.","positive regulation of plasma membrane repair [GO:1905686]; regulation of RNA splicing [GO:0043484]; regulation of voltage-gated calcium channel activity [GO:1901385]","actin cytoskeleton [GO:0015629]; cell-cell contact zone [GO:0044291]; costamere [GO:0043034]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; lysosomal membrane [GO:0005765]; membrane [GO:0016020]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; plasma membrane protein complex [GO:0098797]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]; vesicle [GO:0031982]",0
"AHNAK2","Protein AHNAK2","Q8IVF2",4.8633106348034,0.00051375676,"Q8IVF2","AHNK2_HUMAN","Protein AHNAK2","AHNAK2 C14orf78 KIAA2019","",5795,"","SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.","regulation of RNA splicing [GO:0043484]","costamere [GO:0043034]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; sarcolemma [GO:0042383]; T-tubule [GO:0030315]",0
"ALCAM","CD166 antigen","Q13740",1.07475936518992,0.82922691,"Q13740","CD166_HUMAN","CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)","ALCAM MEMD","TRANSMEM 528..549; /note=""Helical""; /evidence=""ECO:0000255""",583,"FUNCTION: Cell adhesion molecule that mediates both heterotypic cell-cell contacts via its interaction with CD6, as well as homotypic cell-cell contacts (PubMed:7760007, PubMed:15496415, PubMed:15048703, PubMed:16352806, PubMed:23169771, PubMed:24945728). Promotes T-cell activation and proliferation via its interactions with CD6 (PubMed:15048703, PubMed:16352806, PubMed:24945728). Contributes to the formation and maturation of the immunological synapse via its interactions with CD6 (PubMed:15294938, PubMed:16352806). Mediates homotypic interactions with cells that express ALCAM (PubMed:15496415, PubMed:16352806). Acts as a ligand for the LILRB4 receptor, enhancing LILRB4-mediated inhibition of T cell proliferation (PubMed:29263213). Required for normal hematopoietic stem cell engraftment in the bone marrow (PubMed:24740813). Mediates attachment of dendritic cells onto endothelial cells via homotypic interaction (PubMed:23169771). Inhibits endothelial cell migration and promotes endothelial tube formation via homotypic interactions (PubMed:15496415, PubMed:23169771). Required for normal organization of the lymph vessel network. Required for normal hematopoietic stem cell engraftment in the bone marrow. Plays a role in hematopoiesis; required for normal numbers of hematopoietic stem cells in bone marrow. Promotes in vitro osteoblast proliferation and differentiation (By similarity). Promotes neurite extension, axon growth and axon guidance; axons grow preferentially on surfaces that contain ALCAM. Mediates outgrowth and pathfinding for retinal ganglion cell axons (By similarity). {ECO:0000250|UniProtKB:P42292, ECO:0000269|PubMed:15048703, ECO:0000269|PubMed:15294938, ECO:0000269|PubMed:15496415, ECO:0000269|PubMed:16352806, ECO:0000269|PubMed:24945728, ECO:0000269|PubMed:29263213, ECO:0000269|PubMed:7760007}.; FUNCTION: [Isoform 3]: Inhibits activities of membrane-bound isoforms by competing for the same interaction partners. Inhibits cell attachment via homotypic interactions. Promotes endothelial cell migration. Inhibits endothelial cell tube formation. {ECO:0000269|PubMed:15496415}.","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15048703, ECO:0000269|PubMed:15294938, ECO:0000269|PubMed:16352806, ECO:0000269|PubMed:23169771, ECO:0000269|PubMed:24740813, ECO:0000269|PubMed:24945728, ECO:0000269|PubMed:7760007}; Single-pass type I membrane protein {ECO:0000305}. Cell projection, axon {ECO:0000250|UniProtKB:Q61490}. Cell projection, dendrite {ECO:0000250|UniProtKB:Q61490}. Note=Detected at the immunological synapse, i.e, at the contact zone between antigen-presenting dendritic cells and T-cells (PubMed:15294938, PubMed:16352806). Colocalizes with CD6 and the TCR/CD3 complex at the immunological synapse (PubMed:15294938). {ECO:0000269|PubMed:15294938, ECO:0000269|PubMed:16352806}.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:15496415}.","adaptive immune response [GO:0002250]; axon extension involved in axon guidance [GO:0048846]; cell adhesion [GO:0007155]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; motor neuron axon guidance [GO:0008045]; neuron projection extension [GO:1990138]; retinal ganglion cell axon guidance [GO:0031290]; signal transduction [GO:0007165]","axon [GO:0030424]; dendrite [GO:0030425]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; immunological synapse [GO:0001772]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]",1
"ALDH1B1","Aldehyde dehydrogenase X, mitochondrial","P30837",0.569309307279635,0.24541008,"P30837","AL1B1_HUMAN","Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)","ALDH1B1 ALDH5 ALDHX","",517,"FUNCTION: ALDHs play a major role in the detoxification of alcohol-derived acetaldehyde. They are involved in the metabolism of corticosteroids, biogenic amines, neurotransmitters, and lipid peroxidation.","SUBCELLULAR LOCATION: Mitochondrion matrix.","carbohydrate metabolic process [GO:0005975]; ethanol catabolic process [GO:0006068]","cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]",0
"ALDH3B1","Aldehyde dehydrogenase family 3 member B1","P43353",2.74314444863985,0.013854849,"P43353","AL3B1_HUMAN","Aldehyde dehydrogenase family 3 member B1 (EC 1.2.1.28) (EC 1.2.1.5) (EC 1.2.1.7) (Aldehyde dehydrogenase 7)","ALDH3B1 ALDH7","",468,"FUNCTION: Oxidizes medium and long chain saturated and unsaturated aldehydes (PubMed:17382292, PubMed:23721920). Metabolizes also benzaldehyde (PubMed:17382292). Low activity towards acetaldehyde and 3,4-dihydroxyphenylacetaldehyde (PubMed:17382292, PubMed:23721920). May not metabolize short chain aldehydes. Can use both NADP(+) and NAD(+) as electron acceptor (PubMed:17382292). May have a protective role against the cytotoxicity induced by lipid peroxidation (PubMed:17382292). {ECO:0000269|PubMed:17382292, ECO:0000269|PubMed:23721920}.","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23721920}; Lipid-anchor {ECO:0000269|PubMed:23721920}. Note=Primarily in the plasma membrane as well as in some punctate structures in the cytoplasm.","alcohol metabolic process [GO:0006066]; aldehyde catabolic process [GO:0046185]; cellular aldehyde metabolic process [GO:0006081]; cellular response to oxidative stress [GO:0034599]; ethanol catabolic process [GO:0006068]; lipid metabolic process [GO:0006629]; response to oxidative stress [GO:0006979]; sphingolipid biosynthetic process [GO:0030148]","cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; plasma membrane [GO:0005886]; secretory granule membrane [GO:0030667]; specific granule membrane [GO:0035579]; vesicle [GO:0031982]",0
"ALDOA","Fructose-bisphosphate aldolase A","P04075",3.94015008278001,0.0042251227,"P04075","ALDOA_HUMAN","Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)","ALDOA ALDA","",364,"FUNCTION: Catalyzes the reversible conversion of beta-D-fructose 1,6-bisphosphate (FBP) into two triose phosphate and plays a key role in glycolysis and gluconeogenesis (PubMed:14766013). In addition, may also function as scaffolding protein (By similarity). {ECO:0000250, ECO:0000269|PubMed:14766013}.","SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, I band {ECO:0000250|UniProtKB:P00883}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000250|UniProtKB:P00883}. Note=In skeletal muscle, accumulates around the M line and within the I band, colocalizing with FBP2 on both sides of the Z line in the absence of Ca(2+). {ECO:0000250|UniProtKB:P00883}.","actin filament organization [GO:0007015]; ATP biosynthetic process [GO:0006754]; binding of sperm to zona pellucida [GO:0007339]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose metabolic process [GO:0006000]; glycolytic process [GO:0006096]; muscle cell cellular homeostasis [GO:0046716]; protein homotetramerization [GO:0051289]; regulation of cell shape [GO:0008360]; striated muscle contraction [GO:0006941]","actin cytoskeleton [GO:0015629]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; ficolin-1-rich granule lumen [GO:1904813]; I band [GO:0031674]; M band [GO:0031430]; membrane [GO:0016020]; nucleus [GO:0005634]; platelet alpha granule lumen [GO:0031093]; secretory granule lumen [GO:0034774]; sperm head [GO:0061827]; tertiary granule lumen [GO:1904724]",0
"ANO6","Anoctamin-6","Q4KMQ2",4.37346815551876,0.01505925,"Q4KMQ2","ANO6_HUMAN","Anoctamin-6 (Small-conductance calcium-activated nonselective cation channel) (SCAN channel) (Transmembrane protein 16F)","ANO6 TMEM16F","TRANSMEM 301..321; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 376..396; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 456..476; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 510..530; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 552..572; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 602..621; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 664..684; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 685..705; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 723..743; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""; TRANSMEM 837..857; /note=""Helical""; /evidence=""ECO:0000250|UniProtKB:Q6P9J9""",910,"FUNCTION: Small-conductance calcium-activated nonselective cation (SCAN) channel which acts as a regulator of phospholipid scrambling in platelets and osteoblasts. Phospholipid scrambling results in surface exposure of phosphatidylserine which in platelets is essential to trigger the clotting system whereas in osteoblasts is essential for the deposition of hydroxyapatite during bone mineralization. Has calcium-dependent phospholipid scramblase activity; scrambles phosphatidylserine, phosphatidylcholine and galactosylceramide (By similarity). Can generate outwardly rectifying chloride channel currents in airway epithelial cells and Jurkat T lymphocytes. {ECO:0000250|UniProtKB:Q6P9J9, ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:21107324, ECO:0000269|PubMed:21908539, ECO:0000269|PubMed:22006324, ECO:0000269|PubMed:22946059}.; FUNCTION: (Microbial infection) Upon SARS coronavirus-2/SARS-CoV-2 infection, is activated by spike protein which increases the amplitude of spontaneous Ca(2+) signals and is required for spike-mediated syncytia. {ECO:0000269|PubMed:33827113}.","SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:21107324, ECO:0000269|PubMed:22075693, ECO:0000269|PubMed:22946059}; Multi-pass membrane protein {ECO:0000269|PubMed:20056604, ECO:0000269|PubMed:21107324, ECO:0000269|PubMed:22075693, ECO:0000269|PubMed:22946059}. Note=Shows an intracellular localization according to PubMed:22075693.","activation of blood coagulation via clotting cascade [GO:0002543]; bleb assembly [GO:0032060]; blood coagulation [GO:0007596]; calcium activated phosphatidylcholine scrambling [GO:0061590]; calcium activated phosphatidylserine scrambling [GO:0061589]; calcium ion transmembrane transport [GO:0070588]; chloride transmembrane transport [GO:1902476]; chloride transport [GO:0006821]; monoatomic cation transport [GO:0006812]; monoatomic ion transmembrane transport [GO:0034220]; negative regulation of cell volume [GO:0045794]; phosphatidylserine exposure on blood platelet [GO:0097045]; plasma membrane phospholipid scrambling [GO:0017121]; pore complex assembly [GO:0046931]; positive regulation of apoptotic process [GO:0043065]; positive regulation of bone mineralization [GO:0030501]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of monoatomic ion transmembrane transport [GO:0034767]; positive regulation of monocyte chemotaxis [GO:0090026]; positive regulation of phagocytosis, engulfment [GO:0060100]; positive regulation of potassium ion export across plasma membrane [GO:1903766]; purinergic nucleotide receptor signaling pathway [GO:0035590]; sodium ion transmembrane transport [GO:0035725]","cell surface [GO:0009986]; chloride channel complex [GO:0034707]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; plasma membrane [GO:0005886]; specific granule membrane [GO:0035579]; tertiary granule membrane [GO:0070821]",10
