Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
NUMA1 variant protein;NUMA1	Nuclear mitotic apparatus protein 1	Q4LE64;Q14980;A8K394;F5H4J1;F5H6Y5;Q3SYK8;Q9BTE9;Q9UPG3;Q86XH4;F5H763;F5H0Z7;F5H3L6;F5H2F3;G1UI36;F5GZW1;Q9UNL7;F5H1L0;F8W6T3;F5H068;F5H073;F5GWK2	0.413	26	8.285	8.136	0
HNRPDL	Heterogeneous nuclear ribonucleoprotein D-like	O14979;B4DTA2;B4DGN3	0.372	7	8.419	8.135	0
GFPT1	Glucosamine--fructose-6-phosphate aminotransferase	Q06210;B2RB90;B3KMR8;O94808;B4DN38;B3KM63;E5RJP4	0.332	19	8.349	8.128	0
RPS17;RPS17L	40S ribosomal protein S17;40S ribosomal protein S1	H0YK46;H0YN88;P08708;P0CW22;H0YN73;H3BNC9;A4D1Q6	0.417	6	8.496	8.126	0
DKC1	H/ACA ribonucleoprotein complex subunit 4	O60832;C9IYT0;H7C0M1;H7C2Q2;H7C2Q9;H7BZF2	0.781	11	8.157	8.12	0
TPI1	Triosephosphate isomerase	P60174;Q53HE2;B4DUI5;Q2QD09;B7Z5D8	-0.332	10	8.588	8.104	0
NME1-NME2;NME2;NME2P1;NME1	Nucleoside diphosphate kinase;Nucleoside diphospha	Q32Q12;P22392;Q6FHN3;O60361;E7ERL0;F6XY72;E5RHP0;C9K028	-0.74	9	8.684	8.104	0
PABPN1	Polyadenylate-binding protein 2	Q86U42;G3V4T2;B4DEH8;H0YJH9;A6NDY0;B6RF28	0.188	9	8.375	8.101	0
CALR	Calreticulin	P27797;Q53G71;B4DHR1;B4E2Y9	-0.451	11	8.768	8.099	0
HNRNPH3	Heterogeneous nuclear ribonucleoprotein H3	P31942;Q53F48;B4DHY1	0.366	5	8.479	8.096	0
HP1BP3	Heterochromatin protein 1-binding protein 3	Q5SSJ5;B0QZK4;Q5SWC8	-0.092	8	8.111	8.092	0
HSPA5	78 kDa glucose-regulated protein	P11021;B4DEF7	-0.126	32	8.862	8.092	0
RAB11B;RAB11A	Ras-related protein Rab-11B;Ras-related protein Ra	A5YM50;Q15907;Q6FHR0;Q6FI42;B4DMN1;Q5U0I1;P62491;H3BSC1;B4DMK0;B4DT13;H3BMH2;B4DQU5;P57735	-0.254	11	8.985	8.092	0
KLC1;KNS2	Kinesin light chain 1	E7EVH7;Q7RTP8;G3V5R9;Q7RTQ4;Q7RTQ0;F8VTM4;Q7RTQ1;Q7RTQ3;G3V3H3;Q7RTQ2;Q7RTQ8;B4DGB3;F8W6L3;Q07866;B5BU63;G3V2E7;G5E9S8;Q7RTQ7;Q7RTQ9;B4DS14;Q7Z5D5;H0YG16;H0YJT3;H0YJL0;H0YJU9;G3V2P7;Q6P597;C9J8T5;C9JZE5;H0YGB8	0.509	9	8.138	8.088	0
RPS10;RPS10P5	40S ribosomal protein S10;Putative 40S ribosomal p	P46783;Q59GE4;F6U211;Q9NQ39;Q14489	0.385	13	8.723	8.088	0
RUVBL2	RuvB-like 2	Q9Y230;B3KNL2;B3KQ59;B4DW30	-0.076	10	8.119	8.085	0
PSPC1	Paraspeckle component 1	Q8WXF1;B4DWI8;F5H656	0.646	8	8.121	8.084	0
GART	Trifunctional purine biosynthetic protein adenosin	Q59HH3;P22102;Q3B7A7;Q15374;B4DJ93;F8WD69;H7C489;O14660;C9JTV6;C9JBJ1;Q71VH3;H7C366;C9JKQ7;C9JZG2	-0.083	12	8.095	8.084	0
EBNA1BP2	Probable rRNA-processing protein EBP2	H7C2Q8;Q6IB29;Q99848;B4DHA6;B4DRX8	0.422	8	8.276	8.081	0
PDIA3	Protein disulfide-isomerase A3	P30101;G5EA52;B3KQT9;B3KQT2;F5H119;B4DJ98;B4DDM1	-0.591	16	8.713	8.075	0
DDX18	ATP-dependent RNA helicase DDX18	Q9NVP1;Q4ZG72;F5H863;Q8N254;Q59FR7;H7C452	0.665	15	8.349	8.072	0
SSB	Lupus La protein	B5BUB5;P05455;E9PFH8;Q14730;E7ERC4;Q9UMH5;E9PGX9;F5H673;E9PFL9;Q9UMH6	0.575	9	8.274	8.072	0
RPL14	60S ribosomal protein L14	A8K7N0;P50914;B7Z6S8;A0PJ62;E7EPB3;A8K3Q9	0.241	1	8.326	8.071	0
TFRC	Transferrin receptor protein 1;Transferrin recepto	P02786;G3V0E5;F5H6B1;B7Z2I6;H7C3V5;F8WBE5;Q9UP52	-0.483	60	9.371	8.071	0
EIF4G1 variant protein;EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	Q4LE58;B2RU06;B2RU10;E9PFM1;Q04637;B4DGF1;B4DSI9;D3DNT2;E7EUU4;E9PGM1;E7EX73;G5E9S1;C9JF13;C9J6B6;Q96I65;C9K073;C9J2Z7;REV__C9JQZ6;REV__Q86XB5;REV__F5H7J8;REV__Q8NEG2;O95065;H7C044;H7C0V6;C9JHW9;REV__C9JBJ8;F8WCF2	-0.19	20	8.252	8.057	0
PPIA	Peptidyl-prolyl cis-trans isomerase;Peptidyl-proly	A8K486;P62937;B2RE56;Q71V99;B4DM82;C9J5S7;F8WE65;Q567Q0;F5H284;Q9Y536	-0.415	9	8.652	8.057	0
RRP1B	Ribosomal RNA processing protein 1 homolog B	Q14684;Q6PJM8	0.58	10	8.27	8.052	0
FUBP1	Far upstream element-binding protein 1	E9PEB5;F8W7W2;Q96AE4;B4E0X8;B4DT31;B4DWL1;Q6PJY1;Q59FU3;C9JSZ1	0.484	12	8.266	8.051	0
PSMD6	26S proteasome non-ATPase regulatory subunit 6	Q15008;C9IZE4;Q6UV22;E9PHI9;B3KT66;C9J0E9;C9J7B7;H7C531	0.251	12	8.529	8.049	0
KPRP	Keratinocyte proline-rich protein	Q5T749	-4.605	3	8.053	8.048	0
NOC2L	Nucleolar complex protein 2 homolog	B3KNC3;Q9Y3T9;Q9H9J5;B4DY21;Q8NAK7	0.68	11	8.303	8.046	0
CTTN;EMS1	Src substrate cortactin	Q14247;Q53HG7;Q76MU0;H7C314;B3KRK4;B4E358;E9PP90;E9PKG3	-0.055	10	8.198	8.046	0
WDR18	WD repeat-containing protein 18	Q9BV38	0.026	8	8.417	8.045	0
PRPF4	U4/U6 small nuclear ribonucleoprotein Prp4	Q59EL4;B2R7V4;O43172;Q5T1M7;Q6IAP9	0.18	9	8.256	8.044	0
SAFB	Scaffold attachment factor B1	A0AV56;A8K329;B7ZLP6;Q15424;B7ZLP5;B7Z5B6;F5H0H3;B7Z5X3;F5H1L1;B7Z2Z1;B7Z2F6;F5GZU3;B7Z1C7;B7Z959;B7Z2H3	0.636	18	8.1	8.042	0
WDR36;DKFZp686I1650	WD repeat-containing protein 36	Q8NI36;Q68E02;D6R922;D6RFM8	0.26	14	8.246	8.039	0
ALYREF	THO complex subunit 4	E9PB61;Q86V81	0.349	9	8.562	8.037	0
RPL29;RP11-632C17__A.1-001	60S ribosomal protein L29	Q6IPI1;A8K0H3;P47914;Q5T1D1	-0.113	4	8.302	8.028	0
PRMT5	Protein arginine N-methyltransferase 5;Protein arg	B2RDD7;O14744;G3V5W5;B4DX49;B4DY30;B4DV00;A8MTP3;G3V580;G3V5L5;H0YJX6;C9JSX3;G3V2X6;G3V2L6;H7BZ44;H0YJD3;H0YJ77;G3V5T6;H0YJY6	0.039	12	8.188	8.023	0
TP53	Cellular tumor antigen p53	B6E4X6;E5RMA8;H6U5S2;H6U5S3;P04637;Q2XSC7;B4DNI2;H2EHT1;Q5U0E4;B4DMH2;Q1MSW8;H6U5S4;E7EQX7;Q1MSW9;Q1MSX0;B4E095;E7ESS1;H6U5S5;E7EMR6;Q0ZAK1;E9PFT5;Q0ZAK0;A4GWB5;E2G6R5;A4GWD0;A4GWB8;Q27HK5;Q19RW6;Q761V2;E9PCY9;A2I9Y7;G4Y083;B4XAK8;B2ZAH3;B2ZAH4;Q53GA5;D5K	-0.263	6	8.204	8.019	0
RAB7A	Ras-related protein Rab-7a	P51149;B4DPH9;C9J8S3;C9J592;C9J4V0;C9IZZ0;C9J4S4;C9J7D1	-0.377	12	8.779	8.015	0
CAP1	Adenylyl cyclase-associated protein;Adenylyl cycla	B2RDY9;D3DPU2;Q01518;B4DI38;F5H6Z3;B4DNW7;B4DNY3;B4DNA3;B4DUZ8;Q5T0R9;Q5T0R1;Q5T0R2;Q5T0R3;Q5T0R4;Q5T0R5;Q5T0R6;Q5T0R7;P40123;Q9BYW9;B7Z4M3;E9PDI2;B7Z1C4;E9PDI0;Q5JPJ8;B7Z385;B7Z214	0.001	7	8.201	8.014	0
EIF3I	Eukaryotic translation initiation factor 3 subunit	Q13347;Q53HU7;Q5U0F4;Q5TFK1;Q9P1D9	0.103	6	8.391	8.011	0
C16orf88	Protein C16orf88	Q1ED39;H3BPL4;H3BNU8;H3BMC9	-0.038	6	8.298	8.011	0
RAB6A	Ras-related protein Rab-6A	P20340;Q6FGX3;Q53ET8;H0YGL6;F5H668;B7Z772;H7BYW1;B7Z5Z9;F5GZB1;Q1W5D8;F5GXN4;F5H3K7;F5GX61;C9JU14;C9JB90;Q53S08;Q14964;C9J0I2;F5H440;Q9UL29;Q9UL30	-0.676	10	9.204	8.007	0
ABCF2	ATP-binding cassette sub-family F member 2	Q75MJ1;Q75MJ0;Q9UG63;C9JZV3;C9JHK9	0.731	18	8.308	7.999	0
EIF4G2;AAG1	Eukaryotic translation initiation factor 4 gamma 2	B4DZF2;Q59G42;D3DQV9;P78344;H0Y3P2;Q2TU89;H0YCH5;H0YD77;E9PCV8;H0YEC5;E9PKF8;H0YE22;Q3LIE0;H0YCF8;H0YDP4;H0YDC0;H0YEN8;H0YD99	0.348	16	8.059	7.998	0
CSDA	DNA-binding protein A	P16989;Q96GD7;Q59EB5;H0YG22	0.437	4	8.151	7.994	0
NSF	Vesicle-fusing ATPase	P46459;B7Z5J7;I3L0N3;B4DSK5;B4DH19;B7Z9U2;B4DFA2;B4DGR3;Q96D47;D3DXJ4;I3L2G1;I3L0L3;I3L4Q9;I3L338;Q969G3;B4DGM3;C0IMW4;B4DFR4;C0IMW5;C0IMW7;H7C3F6;H7BXG8;H7C048;I3L255	-0.064	43	9.34	7.99	0
BRIX1;BXDC2;BRIX	Ribosome biogenesis protein BRX1 homolog	Q8TDN6;A0JLQ5;B4E0B8;Q9NUW4	0.327	9	8.35	7.989	0
P4HB	Protein disulfide-isomerase	P07237;B4DNL5;E7EPA8;H7BZ94;B4DUA5;B4DLN6;F5H8J2;I3L2P8;H0Y3Z3;Q96C96;B4DJS0;I3L398;I3L312;I3NI03;I3L3U6;B3KTQ9;I3L0S0;I3L4M2;B4DNP9;I3L3P5;I3L514;I3L1Y5	-0.443	17	8.634	7.986	0
DDX27	Probable ATP-dependent RNA helicase DDX27	Q96GQ7;B3GQE6;B7Z6D5;Q53G15;Q3MI07	0.625	15	8.003	7.984	0
DDB1	DNA damage-binding protein 1	Q16531;B7Z2A1;F5GY55;B4DSA8;B4DZP5;B4DG00;F5H2L3;F5H581;F5H4N9;F5H775;F5H0Y5;F5GWI0;F5H238;F5H6C5;F5H7A0;F5GZY8;B7Z859;F5GZ34;F8WF81;F5GYG8	0.158	17	8.195	7.977	0
UGP2	UTP--glucose-1-phosphate uridylyltransferase	B4DUP2;E7EUC7;Q16851;B2RAN1;Q53QE9;D6W5E6;C9JNZ1;C9JQU9;C9JVG3;C9JWG0;C9JUW1;C9JTZ5;F2Z3H1;F8WC70;C9J6Q0;F2Z3P4;C9J3M0	0.268	7	8.095	7.975	0
SNRPB2	U2 small nuclear ribonucleoprotein B	P08579;B5BTZ8;Q86YK2;B4DDC7	-0.579	2	8.221	7.966	0
SRSF1	Serine/arginine-rich splicing factor 1	Q07955;Q59FA2;A8K1L8;B7Z570	-0.05	5	8.368	7.953	0
KPNB1	Importin subunit beta-1	B2RBR9;Q14974;B7ZAV6;B7Z5M1;F5H4R7;B7Z752	-0.027	11	8.218	7.952	0
UPF1	Regulator of nonsense transcripts 1	Q92900;B3KY55;Q6ZUC8	0.3	20	8.228	7.947	0
TBL3	Transducin beta-like protein 3	Q12788;A0JLS5;H3BN88	0.305	14	8.259	7.945	0
DDX47;E4-DBP	Probable ATP-dependent RNA helicase DDX47	Q9H0S4;Q9H4E3;Q53GJ1;G5E955;Q9UI98;A4UCU0;F5H1N9;B4DYP6;Q7Z4B1	0.25	10	8.023	7.942	0
IGF2BP2	Insulin-like growth factor 2 mRNA-binding protein 	F8W930;Q9Y6M1;B4DKT5	0.358	8	8.126	7.936	0
ATIC	Bifunctional purine biosynthesis protein PURH;Phos	B2R7P8;P31939;A8K202;E9PBU3;B4DP06;F5GWY2;H7C1S2;H7C084;C9JLK0;F8WEF0;H7BZU3	-0.217	10	8.111	7.934	0
PSMD7	26S proteasome non-ATPase regulatory subunit 7	B2RD27;P51665;B4DXI8;H3BTM8;H3BNT7;H3BQV2	0.498	4	8.197	7.932	0
BSG;hEMMPRIN	Basigin	I3NI00;P35613;Q54A51;B4DY23;B4DNE1;I3L4S8;I3L1R4;I3L192;I3L4L2;A8MZ77;I3L4U1	-0.481	8	8.356	7.929	0
CAND1	Cullin-associated NEDD8-dissociated protein 1	A8K8U1;Q86VP6;B3KMG3;H0YH27;H0YGP5;B3KM30;O75155;F8WBB8;F5H6I6	-0.141	10	7.946	7.926	0
U2AF1;U2AF1L4	Splicing factor U2AF 35 kDa subunit;Splicing facto	B5BU08;Q01081;Q8WU68;Q7Z780;Q69YM7	0.354	4	8.304	7.923	0
EIF5B	Eukaryotic translation initiation factor 5B	O60841;Q8N5A0;D3DVI5;B3KM86;Q05CQ1;A0JLR8	-0.218	17	8.06	7.919	0
STRAP	Serine-threonine kinase receptor-associated protei	B4DNJ6;Q9Y3F4;B0AZV0;H0YH33	0.391	9	8.302	7.91	0
ACACA	Acetyl-CoA carboxylase 1;Biotin carboxylase	B2ZZ90;Q13085;F8W6G0;Q59FY4;Q7Z5W8;O00763;F8W8T8;B4DIR2;B4DWK9;B4DIW1;B4DIG6;B4DK31;H7BYH5;Q59GJ9;B4DYM0;H0YGH5;F6QQI9;Q4G170;B4DYJ7;E9PEW7;D3YTK0;A8MYL5	0.364	19	7.943	7.908	0
SRPK1	SRSF protein kinase 1	H3BLV9;Q96SB4;B4DS61;A8K8B2;Q5R363;D6RBF8;D6RBM8;Q59GF4;E7ETV6;Q9UPE1;A8MPY5;A8MPP7;C9JWF7;H7C521;C9J2M4;H7C2I2;H0Y932	0.503	13	8.265	7.907	0
PES1	Pescadillo homolog	B2RDF2;O00541;B5MCF9;B3KTZ6;B3KXD6;C9JXJ1;H7C267	0.61	8	8.012	7.906	0
EIF3S3;EIF3H	Eukaryotic translation initiation factor 3 subunit	B3KS98;O15372;Q53HG0;Q53HR0;Q6IB98;Q5BKY2;E5RJT0;E5RGU4	-0.072	6	8.126	7.906	0
POLDIP3;DKFZp434G0310	Polymerase delta-interacting protein 3	Q9BY77;Q96DI9;B4E0L0;Q659C6;F8WCX5;Q8WUT1;B4DMM2;F8WEE2;Q6R954;B4DSH9	0.34	7	7.913	7.904	0
EDC3	Enhancer of mRNA-decapping protein 3	Q96F86;H3BPW9;H3BQ37;H3BPN4;H3BSQ0;H3BU87;H3BQP5;H3BTH0;H3BN89;H3BMB8;H3BTD6;H3BNJ7	0.481	7	8	7.902	0
EDC4	Enhancer of mRNA-decapping protein 4	Q6P2E9;B7Z7V8;I3L2F4;I3L3M2;I3L0V0	0.102	15	7.982	7.901	0
MCM5	DNA replication licensing factor MCM5	A8K521;B1AHB0;P33992;Q53FG5;B4DQ39;B1AHB1;B3KVF0;B4DVK5;E7EQY5;Q59F49;B1AHB2;F8WBR1;B1AHA9	0.05	20	8.47	7.896	0
USP39	U4/U6.U5 tri-snRNP-associated protein 2	Q53GS9;B9A018;B8ZZD1;B7Z7L9;B3KM40;G5E9H0;B4DHT4;B3KMG1;B3KPG7;F8WC91;C9JIU2;C9J0X5	0.104	9	8.271	7.893	0
SF3A2	Splicing factor 3A subunit 2	Q05DF2;Q15428	0.081	8	8.366	7.892	0
AP1B1	AP-1 complex subunit beta-1	Q10567;C9J1E7;B4DG47;Q7Z3M8	-0.542	20	8.439	7.892	0
CKB	Creatine kinase B-type	P12277;E7EUJ8;B4DP56;G3V4N7;H0YJG0;G3V461;G3V2I1	-0.493	12	8.625	7.891	0
PDIA4	Protein disulfide-isomerase A4	P13667;C9JMN9	-0.398	24	8.673	7.882	0
EZR	Ezrin	B2R6J2;P15311;Q6NUR7;E7EQR4;B7Z5V2;B7Z437;Q9UK20;Q9UJZ6;Q9UJZ7;Q9UJZ8;Q9UJZ2;Q9UJU1;B7Z9R6	0.444	6	8.092	7.88	0
ZNF207;DKFZp761N202	Zinc finger protein 207	H0Y3M2;Q59G94;E1P660;O43670;A8MTG3;B4DQT7;Q8N395	0.374	6	8.105	7.876	0
ZNF326	DBIRD complex subunit ZNF326	Q5BKZ1	0.456	4	7.875	7.874	0
ARPC2	Actin-related protein 2/3 complex subunit 2	O15144;Q53R19;Q9BXV5;G5E9J0;C9JTV5;H7C3F9;G5E9S7	0.254	9	8.372	7.874	0
RBM8A	RNA-binding protein 8A	Q9Y5S9	0.155	3	8.303	7.867	0
GNB1	Guanine nucleotide-binding protein G(I)/G(S)/G(T) 	B2R6K4;P62873;Q1RMY8;B3KVK2;Q71UM6;H0Y418;Q5QPT1	-0.104	6	8.49	7.867	0
PIN4	Peptidyl-prolyl cis-trans isomerase NIMA-interacti	Q9Y237;F5H1P5;H0Y610;H0Y8P6;Q5HYW5;B3KXM0;H0Y4T6;Q5HYW4	0.231	3	8.026	7.864	0
DDX50	ATP-dependent RNA helicase DDX50	Q9BQ39;B4DW97;F5H3H6;B4DED6;Q53FI9;Q9NTA9	0.316	10	7.986	7.86	0
PSMB3	Proteasome subunit beta type-3	P49720	0.197	4	8.117	7.858	0
CRNKL1;DKFZp762M013;crn	Crooked neck-like protein 1	Q9BZJ0;Q5JY65;Q69YP1;Q8IXG0	0.14	6	8.08	7.858	0
CLINT1	Clathrin interactor 1	Q14677;H0YD52	-0.328	25	8.835	7.854	0
LAS1L	Ribosomal biogenesis protein LAS1L	Q9Y4W2;B3KUJ7;B7Z381	0.37	7	7.881	7.848	0
NOC3L	Nucleolar complex protein 3 homolog	A6NJZ9;A8K905;Q8WTT2;B4DXL4;F5H677	0.375	6	7.859	7.847	0
PHGDH;PGDH3	D-3-phosphoglycerate dehydrogenase	O43175;B3KSC3;Q5SZU1;F5H634;Q9UMY2;Q8N5M8;Q9UMY3;F5GYN9;Q96RV5;Q96RV6;Q96RV7	-0.401	8	8.171	7.842	0
CSTF3	Cleavage stimulation factor subunit 3	Q12996;B4DMA4;F5H0G6;B4DFQ5;E9PLP8	0.243	7	8.059	7.834	0
PPP1CA	Serine/threonine-protein phosphatase PP1-alpha cat	P62136;E9PDP1;B3KXM2;A6NNR3;E9PMD7;F5H037;F5H1L6;C0STL0	0.055	7	8.395	7.83	0
AHCY	Adenosylhomocysteinase	P23526;B3KUN3;F5H737;Q1RMG2	-0.117	8	8.319	7.827	0
ATG9A	Autophagy-related protein 9A	A8K140;Q7Z3C6;B3KPP7;B4DYN3;H7C152;H7C1G6;C9JD65;C9JXG2;C9JDK4;C9JKV7;C9IYZ9;C9JX27;C9JFV2;C9JS65;Q674R7;F2Z3I6	0.001	108	9.851	7.822	0
HSPA9	"Stress-70 protein, mitochondrial"	Q8N1C8;P38646;B7Z4V2;B7Z4T3;F5H3L8;B7Z1V7;A1XP52;H0YBG6;H0Y8K0	-0.038	2	8.132	7.819	0
AP3B1	AP-3 complex subunit beta-1	A8K586;O00203;E5RJ68;F5GXG9;Q3MNE1;B4E0B2;F5H093;Q68CN5;B7ZKS0;Q13367;B7ZKR7;B3KUS4;F5GWU4;B4DFZ2;F5GYB0	0.208	8	8.032	7.818	0
DNM2	Dynamin-2	E9PEQ4;F5H4R9;P50570;A8K1B6;Q59G96;H3BLY9;C9JXE5;Q9UQ16;E5RHK8;B4DJ53;B3KPF2;Q6P2G1;Q05193;B4DK06;B7ZAC0;F8W9W1;B4DHH5;Q59GI5;E5RIK2;B3KUU8;Q8N1K8;F5H722;Q9UPH5	0.102	13	7.973	7.818	0
MARCKS	Myristoylated alanine-rich C-kinase substrate	P29966;Q6NVI1;Q05C82	-0.333	10	8.098	7.809	0
CPSF6	Cleavage and polyadenylation specificity factor su	Q16630;F8WJN3;B4DSU9;F8W084	0.379	5	7.994	7.806	0
MAGOHB;MAGOH	Protein mago nashi homolog 2;Protein mago nashi ho	Q96A72;P61326;F5H6P7;A6NEC0;B1ARP8;F5H6N1;F5H3U9	0.276	4	8.24	7.803	0
PFKM	"6-phosphofructokinase;6-phosphofructokinase, muscl"	Q6ZTT1;P08237;Q96I60;B4E162;Q7KYX9;F8VP00;F8VVE3;F8VZQ1;F8VNX2;F8VX13;F8VZI0;F8VYK8;F8VTQ3;F8VUB8;F8VSL1;F8VW30;Q7Z683;F8VSF7;F8W1J8;P78457;H0YHB8	0.364	11	8.28	7.799	0
PRPF3	U4/U6 small nuclear ribonucleoprotein Prp3	B2R791;O43395;Q53GV6;B4DLS8;E7EVD1;B4DM28;B4DSY9	0.489	7	7.915	7.797	0
CSDE1;DKFZp779B0247;UNR;DKFZp586J0620	Cold shock domain-containing protein E1	G5E9Q2;E9PGZ0;O75534;Q9GZV0;Q68DF1;E9PLT0;Q96L66;Q9UG93;Q8WU01;Q9UG12;E9PNG3;E9PLD4;E9PKN4;E9PJK7	0.786	9	8.095	7.795	0
RUVBL1	RuvB-like 1	B5BUB1;Q9Y265;B3KRS7;E7ETR0;H7C4G5	-0.053	7	7.867	7.795	0
H1FX	Histone H1x	Q92522	-0.431	7	8.324	7.795	0
ARPC4;ARPC4-TTLL3	Actin-related protein 2/3 complex subunit 4	C9JWM7;F8WCF6;P59998;E7ETI0;H7C0A3;F8WDD7;Q9H7Z5;F6TTL5;F8WE39	0.134	4	8.215	7.79	0
SNRPF	Small nuclear ribonucleoprotein F	P62306	0.32	3	8.138	7.788	0
PPIL4	Peptidyl-prolyl cis-trans isomerase-like 4	Q8WUA2;Q6P392;Q32Q83;B3KRR4;Q96AL2;Q9P1R3;Q9H287	0.089	7	7.959	7.786	0
EIF1AX;EIF1AY	"Eukaryotic translation initiation factor 1A, X-chr"	P47813;O14602;A6NJH9	-0.701	3	7.858	7.784	0
SBDS	Ribosome maturation protein SBDS	Q9Y3A5;F8WE72;F8WCV5	0.219	5	8.025	7.779	0
EXOSC9	Exosome complex component RRP45	A5PLM5;Q06265;B4DXG8;D6RIY6;D6R905;D6RA17;D6RAP4;H0Y9L5	0.246	7	8.152	7.771	0
EMG1	Ribosomal RNA small subunit methyltransferase NEP1	A8K6D2;Q92979;B4DQC7;B4DP65;H3BUT4	0.53	3	7.969	7.767	0
ACTR2	Actin-related protein 2	E9PF41;P61160;B4DHK9;G3V1L8;Q8IY98;B4DWQ5;F5H6T1	0.156	8	8.217	7.767	0
TAF15	TATA-binding protein-associated factor 2N	Q86X94;Q92804;B4E312;F5GWQ7	0.401	5	7.9	7.764	0
WBP11	WW domain-binding protein 11	Q9Y2W2;B4DY34;F5H721;B4DMD3;F5H5G4;F5GXS9	0.203	6	7.856	7.763	0
EIF4A1;EIF4A2	Eukaryotic initiation factor 4A-I;Eukaryotic initi	A8K7F6;P60842;A8K088;Q59F68;Q14240;E7EQG2;B4DNH2;Q9NZE6;B4DKP9;B4E047;B4DJX6;Q96B07;B4E102;D3DSD6;Q86WD0;E7EMV8	0.217	10	8.421	7.762	0
EEF1E1	Eukaryotic translation elongation factor 1 epsilon	O43324;C9J1V9;D6RBD7;C9JLK5;H0YAL7;D6RCQ0;H0YAH9	0.164	5	8.194	7.759	0
PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa reg	A8K3H8;A8K7B7;P30153;B4DDF7;B4DQY1;B4DE69;F5H3X9;E9PH38;Q8NB89;B3KQV6;B4E1Q0;A8K8B0;P30154;B4DGQ6;F8W8G1;A8MY67;B4DK91;E7EUF3;E9PHZ6;E9PPI5;C9J9C1;E9PNM7	-0.486	14	8.337	7.757	0
UTP15	U3 small nucleolar RNA-associated protein 15 homol	H0Y8P4;Q8TED0;B4DXK8;B4DU75;REV__H0Y8P4;REV__Q8TED0;REV__B4DXK8;REV__B4DU75	0.64	6	7.874	7.755	0
SNRNP40;WDR57	U5 small nuclear ribonucleoprotein 40 kDa protein	B4DQJ1;A0MNP2;B2R9I9;Q96DI7;Q9NSS8	0.141	6	8.161	7.753	0
AP1G1	AP-1 complex subunit gamma-1	B3KXW5;Q8IY97;O43747;E7EUH1;B4DS96;B4DDL1;F5GZV5;H3BNR4;H3BUN9;H3BR36;H3BNN2;B3KNW1;B4DGE1;H3BN71	-0.406	15	8.556	7.752	0
PSMD8	26S proteasome non-ATPase regulatory subunit 8	P48556;Q5U0B3;B4E2Y4	0.262	4	8.041	7.747	0
GRWD1;DKFZp564C172	Glutamate-rich WD repeat-containing protein 1	A0MNN5;B2RDP6;Q8NCK5;Q8TCJ8;Q9BQ67;B4DTI1	0.361	4	7.832	7.745	0
EIF3G;EIF3S4	Eukaryotic translation initiation factor 3 subunit	O75821;Q6IAM0;A8K5K5;B7Z1G0;B0AZV5	0.174	9	8.148	7.739	0
SNRPD1	Small nuclear ribonucleoprotein Sm D1	P62314;Q7Z5A3	0.023	4	8.204	7.739	0
PCBP1	Poly(rC)-binding protein 1	Q15365;Q53SS8;F8VTZ0	0.287	7	8.29	7.736	0
AIMP2	Aminoacyl tRNA synthase complex-interacting multif	B2R7M3;Q13155;F8W950;A8MU58;F8WCL2	0.002	8	8.127	7.729	0
TARDBP	TAR DNA-binding protein 43	Q13148;B4DRW3;G3V162;B1AKP7;B4DJ45	0.312	7	8.213	7.727	0
PFN1	Profilin-1	P07737;I3L3D5;CON__P02584	-0.385	6	8.166	7.72	0
SF3B4	Splicing factor 3B subunit 4	B3KUJ0;Q15427;Q53FG6;Q5SZ64	0.32	4	8.019	7.719	0
DRG1	Developmentally-regulated GTP-binding protein 1	Q9Y295;Q9UFA5;P55039;A8MZF9;B4DMP8;F8WEE0;H0YI06;H7C1E1	0.335	6	8.086	7.706	0
KIAA1967	DBIRD complex subunit KIAA1967	B3KTJ9;Q8N163;H0YB24;G3V119;E2PSM9;E5RHJ4;H0YC58;E5RFJ3;E5RGU7;H0YC69	0.286	8	7.847	7.703	0
PGK1	Phosphoglycerate kinase;Phosphoglycerate kinase 1	A8K4W6;P00558;B7Z7A9;B4E1H9;B4DHB3;E7ERH5;B4DHM5;B4DWQ3;P07205	-0.479	7	8.238	7.696	0
FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl	B2R9U2;Q02790;H0YFG2;F5H1U3	-0.343	4	7.906	7.694	0
RBM17	Splicing factor 45	Q5W009;Q96I25;Q5W012;H0Y6J6;Q5W008;Q5W010;Q5W011	0.381	11	8.005	7.692	0
KPNA2	Importin subunit alpha;Importin subunit alpha-2	A8K7D9;P52292;Q6NVW7;Q7Z726	0.502	7	8.029	7.688	0
C14orf166	UPF0568 protein C14orf166	Q549M8;Q5RLJ0;Q9Y224;G3V4C6;H0YJB9;G3V4E7	0.264	3	7.992	7.687	0
