User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
LAMR1P15	Invalid identifier / gene not available			
RBM42	RBM42	49 / 716	2.2	7
RBM17	RBM17	206 / 716	5.8	39
TUBG1	TUBG1	141 / 716	2.3	11
TUBG2	TUBG2	125 / 716	2.1	9
RPL35	RPL35	302 / 716	4.1	53
LOC154880	Invalid identifier / gene not available			
ANXA5	ANXA5	80 / 716	6.7	32
ARHGEF2	ARHGEF2	78 / 716	1.8	6
RPS10	RPS10	336 / 716	8.2	77
RPS10P5	RPS10P5	249 / 716	4.9	26
HNRNPA1	HNRNPA1	552 / 716	12.8	72
HNRPA1	Invalid identifier / gene not available			
HNRNPA1L2	HNRNPA1L2	505 / 716	9	48
C22ORF28	Invalid identifier / gene not available			
HNRNPM	HNRNPM	520 / 716	17.6	154
ORF	Invalid identifier / gene not available			
POLR2H	POLR2H	196 / 716	1.8	13
DDX17	DDX17	523 / 716	10.8	81
RBM26	RBM26	146 / 716	13.5	71
FARSLA	Invalid identifier / gene not available			
FARSA	FARSA	174 / 716	2.8	12
STRAP	STRAP	319 / 716	5.6	28
WDR61	WDR61	112 / 716	2.7	18
BCLAF1	BCLAF1	390 / 716	19.1	119
RPLP2	RPLP2	440 / 716	6.7	120
PRDX2	PRDX2	482 / 716	6.6	55
GSR	GSR	109 / 716	6.8	27
HSPA14	HSPA14	27 / 716	1.9	7
RBM25	RBM25	237 / 716	5.8	44
FXR1	FXR1	140 / 716	3.8	42
EIF2AK2	EIF2AK2	76 / 716	1.4	6
TAF15	TAF15	383 / 716	6.1	41
PFKL	PFKL	178 / 716	3.1	30
XRCC5	XRCC5	428 / 716	9.1	70
COBRA1	Invalid identifier / gene not available			
RPS24	RPS24	353 / 716	6.7	47
SRSF9	SRSF9	151 / 716	3.8	25
LYAR	LYAR	94 / 716	2.1	10
THOC1	THOC1	76 / 716	4.1	23
NUMA1	NUMA1	268 / 716	43.9	476
VARIANT	Invalid identifier / gene not available			
PROTEIN	Invalid identifier / gene not available			
NUMA1	NUMA1	268 / 716	43.9	476
RPS18	RPS18	399 / 716	7.2	42
PFKP	PFKP	201 / 716	4.7	26
RPS17	RPS17	342 / 716	5.4	52
RPS17L	Invalid identifier / gene not available			
PSMC4	PSMC4	210 / 716	5.4	28
CHTOP	CHTOP	135 / 716	2.4	11
LRRC40	LRRC40	88 / 716	2.4	13
EBNA1BP2	EBNA1BP2	137 / 716	4.7	33
PSMD11	PSMD11	204 / 716	6	35
EXOSC7	EXOSC7	84 / 716	2.1	10
CDC42BPB	CDC42BPB	15 / 716	1.4	3
PRPF31	PRPF31	251 / 716	7.6	122
PTBP2	PTBP2	95 / 716	1.5	5
SYNCRIP	SYNCRIP	459 / 716	7.5	97
TRA2B	TRA2B	163 / 716	4.2	26
DKFZP686F18120	Invalid identifier / gene not available			
GAR1	GAR1	89 / 716	6.2	60
OK/KNS-CL	Invalid identifier / gene not available			
CSDA	Invalid identifier / gene not available			
CHERP	CHERP	217 / 716	7.8	45
SF1	SF1	256 / 716	7.9	64
ELAVL1	ELAVL1	322 / 716	4.9	26
C1ORF106	C1ORF106	1 / 716	1	1
EZR	EZR	264 / 716	6.3	115
DDX1	DDX1	331 / 716	5.2	34
NF1	NF1	41 / 716	1.5	4
NOL9	NOL9	78 / 716	2.6	10
RPS28	RPS28	404 / 716	3.1	17
SFPQ	SFPQ	484 / 716	16.6	344
PLOD1	PLOD1	92 / 716	3.4	19
RPL5	RPL5	395 / 716	7.9	63
NUMA1	NUMA1	268 / 716	43.9	476
ZNF326	ZNF326	193 / 716	3.2	14
DDX5	DDX5	528 / 716	11.1	83
DKFZP686J01190	Invalid identifier / gene not available			
SAR1A	SAR1A	63 / 716	2.1	7
SARA1	Invalid identifier / gene not available			
SAR1B	SAR1B	50 / 716	1.4	4
G3BP2	G3BP2	214 / 716	3.2	34
ZC3HAV1	ZC3HAV1	210 / 716	7	50
LSM14A	LSM14A	227 / 716	7.3	38
SRSF10	SRSF10	150 / 716	2.8	19
FUSIP1	FUSIP1	129 / 716	1.6	8
SRSF12	SRSF12	73 / 716	1.9	7
NONO	NONO	505 / 716	22.4	387
EIF3K	EIF3K	169 / 716	1.6	6
EXOSC8	EXOSC8	93 / 716	1.8	5
DKFZP564C0482	Invalid identifier / gene not available			
MMTAG2	MMTAG2	230 / 716	5.5	46
CEBPZ	CEBPZ	98 / 716	4	31
FBLL1	FBLL1	163 / 716	2.9	20
NCAPH2	NCAPH2	9 / 716	1.2	2
IQGAP1	IQGAP1	197 / 716	6.5	79
TRAPPC2L	TRAPPC2L	1 / 716	1	1
EDC3	EDC3	52 / 716	1.2	5
PNO1	PNO1	76 / 716	1.7	6
TXNL1	TXNL1	150 / 716	3.1	17
TRIM25	TRIM25	136 / 716	2.9	10
MRTO4	MRTO4	128 / 716	2.7	13
FUBP1	FUBP1	240 / 716	4.6	38
PCBP2	PCBP2	475 / 716	8	55
WDR75	WDR75	31 / 716	2.4	13
PRPF3	PRPF3	168 / 716	10	71
CAPRIN1	CAPRIN1	282 / 716	4.9	56
HNRNPD	HNRNPD	489 / 716	6.3	37
SRRM1	SRRM1	240 / 716	6.4	42
TXLNA	TXLNA	53 / 716	1.8	8
DNAJA1	DNAJA1	243 / 716	4.8	37
HDJ2	Invalid identifier / gene not available			
PSMD7	PSMD7	144 / 716	4.3	19
KPNA2	KPNA2	367 / 716	6	38
TRA2A	TRA2A	116 / 716	3.7	22
HSU53209	Invalid identifier / gene not available			
SRPK1	SRPK1	157 / 716	2.8	13
RAB1A	RAB1A	195 / 716	4	20
MTMR6	MTMR6	44 / 716	1.3	3
KLC1	KLC1	153 / 716	7	20
KNS2	Invalid identifier / gene not available			
PRPS2	PRPS2	191 / 716	7.5	47
VAT1	VAT1	64 / 716	2	10
RPL7L1	RPL7L1	54 / 716	1.8	14
PURA	PURA	55 / 716	2.2	8
FUBP3	FUBP3	212 / 716	3	19
HTATSF1	HTATSF1	182 / 716	3.7	32
EMG1	EMG1	84 / 716	2.5	10
PSME2	PSME2	82 / 716	2.4	27
TOMM34	TOMM34	32 / 716	1.7	6
PAFAH1B1	PAFAH1B1	66 / 716	1.8	5
PABPC1	PABPC1	408 / 716	11.1	97
PABPC3	PABPC3	331 / 716	6	50
DDX6	DDX6	303 / 716	5.9	54
UTP20	UTP20	43 / 716	4.9	35
FLNB	FLNB	417 / 716	28.1	759
FTSJ3	FTSJ3	184 / 716	10.9	84
CCDC86	CCDC86	43 / 716	2	10
GNAQ	GNAQ	24 / 716	1.7	10
GNA11	GNA11	33 / 716	1.8	9
GNA14	GNA14	27 / 716	1.6	7
RBM3	RBM3	176 / 716	5.4	31
KIF5B	KIF5B	245 / 716	9.5	48
KIF5B-ALK	Invalid identifier / gene not available			
RRM1	RRM1	108 / 716	3.5	17
TPR	TPR	256 / 716	61.6	471
TPR	TPR	256 / 716	61.6	471
RAB1B	RAB1B	192 / 716	4.2	23
RAB1C	RAB1C	181 / 716	3.6	19
FARSB	FARSB	139 / 716	4.8	18
FARSLB	Invalid identifier / gene not available			
G3BP1	G3BP1	353 / 716	7.9	94
G3BP	Invalid identifier / gene not available			
DKFZP313K0921	Invalid identifier / gene not available			
HNRNPAB	HNRNPAB	442 / 716	5.2	29
SRP9	SRP9	208 / 716	1.7	11
BAG3	BAG3	69 / 716	2.9	16
HNRPLL	HNRPLL	80 / 716	1.5	8
SSB	SSB	296 / 716	4.7	24
TRIM4	TRIM4	31 / 716	1.2	4
RRP1B	RRP1B	214 / 716	4.2	27
LSM14B	LSM14B	29 / 716	1.2	4
TRAPPC5	TRAPPC5	16 / 716	1.7	5
PRRC2A	PRRC2A	212 / 716	7.7	42
TRAPPC6B	TRAPPC6B	13 / 716	1	1
SON	SON	219 / 716	17.4	162
ATXN2L	ATXN2L	305 / 716	17.3	103
CPNE3	CPNE3	91 / 716	3.5	21
CPNE7	CPNE7	78 / 716	1.3	5
CPNE6	CPNE6	77 / 716	1.2	2
CPNE5	CPNE5	79 / 716	1.4	3
CPNE8	CPNE8	98 / 716	1.8	12
CPNE4	CPNE4	75 / 716	1.2	2
CPNE9	CPNE9	79 / 716	1.4	3
CPNE2	CPNE2	75 / 716	1.4	8
DDX39B	DDX39B	400 / 716	8.4	58
BAT1	Invalid identifier / gene not available			
MTMR9	MTMR9	7 / 716	1.3	3
EIF4G3	EIF4G3	181 / 716	14	64
CELF1	CELF1	26 / 716	1.3	3
PABPC4	PABPC4	376 / 716	7.8	71
PES1	PES1	178 / 716	9.5	74
SRP14	SRP14	338 / 716	3.6	24
DDX27	DDX27	107 / 716	3.7	28
VPS33B	VPS33B	12 / 716	3.9	24
NIP7	NIP7	34 / 716	2	8
SAFB	SAFB	206 / 716	6.6	55
UTP15	UTP15	12 / 716	2.8	11
COPB1	COPB1	278 / 716	4.9	38
PSPC1	PSPC1	217 / 716	5.3	68
NOP56	NOP56	208 / 716	5.8	50
NUDT21	NUDT21	295 / 716	6.1	42
KHSRP	KHSRP	403 / 716	11.4	77
RBM15	RBM15	127 / 716	4.2	39
BYSL	BYSL	146 / 716	3.9	22
NOL11	NOL11	98 / 716	5.1	33
DDX18	DDX18	203 / 716	5	30
FAM98A	FAM98A	112 / 716	2.5	17
GEMIN4	GEMIN4	79 / 716	2.2	14
TUBB3	TUBB3	665 / 716	27	201
ARFGAP1	ARFGAP1	112 / 716	7	31
ARF1GAP	Invalid identifier / gene not available			
NOC2L	NOC2L	86 / 716	2.7	17
MAD1L1	MAD1L1	10 / 716	1.2	2
NO66	Invalid identifier / gene not available			
CDC40	CDC40	31 / 716	6.3	20
ANXA6	ANXA6	77 / 716	7.1	35
HELLS	HELLS	97 / 716	2.7	20
DDX21	DDX21	438 / 716	15.9	82
NHP2L1	Invalid identifier / gene not available			
C16ORF80	Invalid identifier / gene not available			
ZFR	ZFR	253 / 716	7.6	78
PRIM2	PRIM2	112 / 716	3.9	23
PRIM2A	Invalid identifier / gene not available			
ABCF2	ABCF2	137 / 716	3.4	21
EIF3M	EIF3M	162 / 716	2.9	11
P14	Invalid identifier / gene not available			
SF3B14	Invalid identifier / gene not available			
WDR43	WDR43	116 / 716	5.2	35
TPRG1L	TPRG1L	 / 716	0	
FBL	FBL	387 / 716	10.8	218
RAVER1	RAVER1	129 / 716	2	22
ESF1	ESF1	101 / 716	11	71
DKC1	DKC1	186 / 716	3.7	21
CSDE1	CSDE1	191 / 716	10.1	39
DKFZP779B0247	Invalid identifier / gene not available			
UNR	Invalid identifier / gene not available			
DKFZP586J0620	Invalid identifier / gene not available			
MSI2	MSI2	44 / 716	2.1	7
FAM120A	FAM120A	159 / 716	2.6	79
YTHDF2	YTHDF2	250 / 716	2.4	11
YTHDF3	YTHDF3	146 / 716	1.8	11
DKFZP451A052	Invalid identifier / gene not available			
DKFZP451J085	Invalid identifier / gene not available			
NOP58	NOP58	246 / 716	4.6	40
EIF6	EIF6	216 / 716	2.3	11
UBAP2L	UBAP2L	322 / 716	12.7	64
TLE4	TLE4	35 / 716	1.2	3
TLE3	TLE3	97 / 716	1.6	7
TLE1	TLE1	35 / 716	1.6	5
TLE2	TLE2	34 / 716	1.2	3
FAM168A	FAM168A	24 / 716	1.5	3
HCFC1	HCFC1	278 / 716	23	150
PAIP1	PAIP1	26 / 716	1.4	4
ARFIP1	ARFIP1	30 / 716	1.5	4
ARFIP2	ARFIP2	5 / 716	1	1
SH3GLB1	SH3GLB1	30 / 716	2.2	7
TROVE2	TROVE2	37 / 716	1.6	9
CCNK	CCNK	128 / 716	3.7	14
TPD52L2	TPD52L2	68 / 716	1.5	6
DKFZP686A1765	Invalid identifier / gene not available			
MLLT4	Invalid identifier / gene not available			
